,,Category,0
61,0,1,0.3427594462448332
61,1,1,0.10444556397628603
61,2,1,-0.1190162157861327
61,3,1,-0.2651250093630894
62,0,1,0.16956124864125333
62,1,1,0.22399354895643525
62,2,1,-0.19062670678673221
62,3,1,-0.16619994156804466
63,0,1,-0.045321915729638396
63,1,1,-0.2940528292200576
63,2,1,0.24832487727635338
63,3,1,-0.07640835981451394
64,0,1,0.14807478495024026
64,1,1,-0.642500412829204
64,2,1,0.08524144346796841
64,3,1,0.03399422982668654
65,0,1,0.00553950420931348
65,1,1,-0.2491053878881424
65,2,1,0.2841993455200672
65,3,1,0.07242992422948381
66,0,1,0.7434753725047625
66,1,1,-0.069728968451335
66,2,1,0.06348302928405805
66,3,1,0.10043768290118528
67,0,1,0.030009116868543798
67,1,1,-0.4399538959683898
67,2,1,-0.1593321007180457
67,3,1,-0.46624256115481644
68,0,1,0.7467175514006884
68,1,1,0.5323059235434259
68,2,1,0.10828526494513271
68,3,1,-0.22275925502385982
69,0,1,0.32506726725540125
69,1,1,0.7010614529577991
69,2,1,-0.1662834257117806
69,3,1,0.07467627625136825
70,0,1,0.4353057721736071
70,1,1,0.02043362033216295
70,2,1,0.18421285083431047
70,3,1,0.11173070219462178
71,0,1,0.41190533730999396
71,1,1,-0.2718601017838973
71,2,1,0.238577643240727
71,3,1,0.138474378656422
72,0,1,0.6107073154864081
72,1,1,-0.4428497080354466
72,2,1,0.1346991580090956
72,3,1,0.0902667233741574
73,0,1,0.4930643322587501
73,1,1,0.41078921963597714
73,2,1,0.26595734818015726
73,3,1,-0.03637665565602102
74,0,1,0.4060567395788425
74,1,1,0.18841415229630243
74,2,1,-0.10239800754380504
74,3,1,-0.05700491228074878
75,0,1,0.7193592228178907
75,1,1,0.07682023529086524
75,2,1,0.004109119208016893
75,3,1,-0.07807782011206807
76,0,2,-0.29202290230339667
76,1,2,-0.10141189538068415
76,2,2,-0.11892617327265692
76,3,2,-0.15434262673950644
77,0,2,-0.3145135620398386
77,1,2,-0.2892292061686361
77,2,2,0.00952406858715419
77,3,2,-0.06991387849309055
78,0,2,-0.3047669266963412
78,1,2,-0.28084176893498974
78,2,2,-0.15548491028760042
78,3,2,-0.10501471187966467
79,0,2,-0.09654954434879019
79,1,2,0.07728398874771154
79,2,2,-0.1557777996296435
79,3,2,-0.0791620745546902
80,0,2,-0.1239719975945555
80,1,2,0.09474028205926834
80,2,2,-0.15835493741875406
80,3,2,-0.140599531540973
81,0,2,-0.24580289642609546
81,1,2,-0.03189765814404796
81,2,2,-0.043940015434949097
81,3,2,-0.024271808998508723
82,0,2,-0.1771247865774775
82,1,2,0.09212063098368127
82,2,2,-0.1644728968839898
82,3,2,0.031239855700917772
83,0,2,-0.27088827009968675
83,1,2,-0.03666802180389022
83,2,2,-0.16940788317753452
83,3,2,0.13983831289552426
84,0,2,-0.2884262940565293
84,1,2,-0.006514191916393242
84,2,2,-0.2870049293045361
84,3,2,-0.046562809325373766
85,0,2,-0.22482383814767398
85,1,2,0.05283934444716555
85,2,2,-0.1746205153547893
85,3,2,-0.05797201049849153
86,0,2,-0.11511247024782263
86,1,2,0.08865443160979822
86,2,2,-0.21672486210835779
86,3,2,-0.02334246426850388
87,0,2,-0.08144351844911547
87,1,2,0.1108821285943252
87,2,2,-0.12930130500766662
87,3,2,-0.08895336531680512
88,0,2,-0.10165769399058787
88,1,2,0.18378992460476182
88,2,2,-0.14387398952170277
88,3,2,-0.03518051024705415
89,0,2,-0.11548798548763084
89,1,2,-0.29485431287190955
89,2,2,-0.13495168967831178
89,3,2,0.05855966107001951
90,0,2,-0.31220248768435216
90,1,2,0.01156575163690873
90,2,2,-0.11382758069710282
90,3,2,-0.013768152026972673
91,0,2,-0.012804107573880251
91,1,2,0.1091088434377225
91,2,2,-0.04387055032617588
91,3,2,-0.08943472051428394
92,0,2,-0.2278739294031621
92,1,2,-0.026746958372716245
92,2,2,-0.2556583957842428
92,3,2,-0.027317178213916528
93,0,2,-0.16546934616542172
93,1,2,0.05954896177533918
93,2,2,-0.05241665147645068
93,3,2,0.00035824437575369267
94,0,2,-0.37227330982985324
94,1,2,-0.060622499813485525
94,2,2,-0.1566897470074029
94,3,2,-0.0193949690613643
95,0,2,-0.30182383496047277
95,1,2,-0.022258580940999827
95,2,2,-0.16876812432671584
95,3,2,0.17001361041094976
96,0,2,-0.2807858729253821
96,1,2,-0.3851116902075563
96,2,2,-0.08890538772210418
96,3,2,-0.10936446253001642
97,0,2,-0.39302216398922313
97,1,2,-0.3612672528796031
97,2,2,-0.08185146035492047
97,3,2,-0.011131639223384265
98,0,2,-0.19236455347918271
98,1,2,0.09462585645733637
98,2,2,-0.0929826978017748
98,3,2,0.038830559102421856
99,0,2,-0.09958061233845916
99,1,2,0.19211730751072728
99,2,2,-0.03448499679084726
99,3,2,0.14521637643951368
100,0,2,-0.07686358937563982
100,1,2,-0.15082269166560874
100,2,2,-0.22150128601144997
100,3,2,-0.007690511166692235
101,0,2,-0.008519567785365112
101,1,2,0.26017571380711424
101,2,2,-0.005081470960097718
101,3,2,0.03192430705656979
102,0,2,-0.12057046235615806
102,1,2,-0.32058635061604995
102,2,2,-0.16170738548341543
102,3,2,-0.07657510943024033
103,0,2,-0.42542996521432536
103,1,2,-0.15973053389319047
103,2,2,-0.16172970915305995
103,3,2,0.009651861035373492
104,0,2,-0.008108272758692017
104,1,2,0.27879476745779674
104,2,2,-0.14760384015021952
104,3,2,0.09297152445195411
105,0,2,-0.18848326239666266
105,1,2,-0.25647485647607215
105,2,2,-0.09425567369977889
105,3,2,0.0873231228380368
106,0,2,-0.23422408984643237
106,1,2,-0.1469212133570115
106,2,2,-0.09452423999966195
106,3,2,0.09079322207810711
107,0,2,-0.21017327513737843
107,1,2,0.0960160326024671
107,2,2,-0.1381839845647205
107,3,2,-0.03986805958166429
108,0,2,-0.140693058801306
108,1,2,0.32172733152128924
108,2,2,-0.1804124169400074
108,3,2,0.17595375724774903
109,0,2,-0.3952814001951774
109,1,2,-0.1756022726046816
109,2,2,-0.33014122400716267
109,3,2,0.12504150029380173
110,0,2,-0.20725829063071363
110,1,2,-0.14696915989808718
110,2,2,-0.11742904421670584
110,3,2,0.08184438269128926
111,0,2,-0.16076807776096982
111,1,2,-0.03599952795300439
111,2,2,-0.2028156153932377
111,3,2,0.010057275401372598
112,0,3,0.07687673182609941
112,1,3,0.050394378330162345
112,2,3,-0.09413488625124242
112,3,3,0.08171806953326835
113,0,3,0.0019259167508487614
113,1,3,0.19595351063383817
113,2,3,-0.06827579780011683
113,3,3,0.0309431304451879
114,0,3,-0.016887992072765062
114,1,3,0.02964469439769179
114,2,3,-0.18474318333471126
114,3,3,0.10760001992738669
115,0,3,0.0203457479715596
115,1,3,0.07985037812714921
115,2,3,-0.11359192382297846
115,3,3,0.01373472333693921
116,0,3,-0.048347268885705265
116,1,3,-0.16220736429025012
116,2,3,-0.08900459960675433
116,3,3,0.09048023530405429
117,0,3,0.03759079156332155
117,1,3,0.038896505425652275
117,2,3,-0.16619570120256025
117,3,3,-0.02181078573592544
118,0,3,0.013719797675465278
118,1,3,0.02515981753180177
118,2,3,-0.0702344962690491
118,3,3,0.047044682926476504
119,0,3,0.022113402166423622
119,1,3,-0.02478993547087085
119,2,3,-0.06201715067542607
119,3,3,0.06769179013093882
120,0,3,0.08014777013778068
120,1,3,-0.06460568843622701
120,2,3,-0.08623133472226242
120,3,3,0.05069426675439336
121,0,3,0.036572535493813056
121,1,3,-0.0773076069784424
121,2,3,-0.0685490021114029
121,3,3,0.011541477972751952
122,0,3,-0.019755288980996162
122,1,3,-0.017826099466767366
122,2,3,-0.07275229612846536
122,3,3,0.0533668099836976
123,0,3,-0.026996910032050587
123,1,3,-0.04159545404097409
123,2,3,-0.11884386011941497
123,3,3,-0.0004657508087544202
124,0,3,0.015383457925649605
124,1,3,0.13968373279093516
124,2,3,-0.08664893872660548
124,3,3,0.06706297415861438
125,0,3,0.0017901911451982649
125,1,3,0.02070827225475464
125,2,3,-0.11395058898638966
125,3,3,0.07696094556495985
126,0,3,0.00025511333010256806
126,1,3,0.0962885453471968
126,2,3,-0.14574737125641088
126,3,3,-0.025911972126042657
127,0,3,-0.11669757383259051
127,1,3,-0.1916219129069315
127,2,3,-0.10411659340302086
127,3,3,0.05017787656424273
128,0,3,-0.09447317006903377
128,1,3,0.01615531331362766
128,2,3,-0.0905820128223454
128,3,3,0.032281637721036704
129,0,3,0.0005196418516304127
129,1,3,-0.05014421204874589
129,2,3,-0.012089194922986312
129,3,3,0.059429134590031726
130,0,3,0.014317708823984164
130,1,3,-0.04172053139943856
130,2,3,-0.09196186113647989
130,3,3,0.03149441465334826
131,0,3,0.019367607641587518
131,1,3,-0.13222225292105091
131,2,3,-0.09705870657320653
131,3,3,0.07968664265807611
132,0,3,0.031511582446357746
132,1,3,0.08899558055512662
132,2,3,-0.15785934701384696
132,3,3,-0.04128820766969647
133,0,3,-0.03398922869555599
133,1,3,-0.10245249579325899
133,2,3,-0.04191246413671825
133,3,3,-0.04255101678863724
134,0,3,-0.0439984928072561
134,1,3,0.018107138812554203
134,2,3,-0.11669374874221945
134,3,3,0.060591286768924106
135,0,3,0.041117129328305406
135,1,3,-0.08724752448019703
135,2,3,-0.16539834915602378
135,3,3,0.1436721651627599
136,0,3,-0.05627778841808834
136,1,3,0.1475155248505936
136,2,3,-0.09782398890405121
136,3,3,-0.016378712471386548
137,0,3,-0.05725607209508394
137,1,3,-0.08380227870804097
137,2,3,-0.07285934730261645
137,3,3,0.04713933853351293
138,0,3,-0.011497360792225152
138,1,3,-0.14973248388660326
138,2,3,-0.04530272163504162
138,3,3,0.07186773223936635
139,0,3,-0.01087835032509204
139,1,3,0.008354482847431231
139,2,3,-0.13435492141858976
139,3,3,-0.05788817298556346
140,0,3,0.011583460978554665
140,1,3,-0.014746793134729062
140,2,3,-0.1523405070427777
140,3,3,-0.012758314925035815
141,0,3,-0.03229256608506844
141,1,3,-0.10651079833053106
141,2,3,-0.09398668582433227
141,3,3,-0.05882412196424356
142,0,3,0.006868894235983446
142,1,3,-0.03233737746366848
142,2,3,-0.07318116596348809
142,3,3,0.034305327402685014
143,0,3,0.06673108231521914
143,1,3,0.02750514433590314
143,2,3,-0.13896681933284388
143,3,3,0.027183166043874833
144,0,3,0.028928388733649307
144,1,3,-0.06511057701276868
144,2,3,-0.11040749213857343
144,3,3,0.05823801675966131
145,0,3,-0.03738912583757332
145,1,3,-0.016873715081926397
145,2,3,-0.0896376426210218
145,3,3,0.005854255591244325
146,0,3,-0.03214495651306058
146,1,3,-0.0447141977018702
146,2,3,-0.10578047030209785
146,3,3,0.07563031854677096
147,0,4,-0.1353296788642405
147,1,4,0.249160996050747
147,2,4,0.10170689074533165
147,3,4,-0.07866509685283295
148,0,4,-0.1289340000768495
148,1,4,0.07982554114404784
148,2,4,0.009786188059511692
148,3,4,-0.05614115770621731
149,0,4,-0.1183374012809247
149,1,4,0.25324227975624664
149,2,4,0.18221320129391508
149,3,4,-0.02236433564268262
150,0,4,-0.10817438691746563
150,1,4,0.14909690436574166
150,2,4,0.1239983305751783
150,3,4,0.03335558975113981
151,0,4,-0.08632971806807027
151,1,4,0.22568378267174902
151,2,4,0.10465822989222565
151,3,4,-0.13083103368684582
152,0,4,-0.1812102319449473
152,1,4,0.14475891440928257
152,2,4,0.1813895004994007
152,3,4,0.02795911774534118
153,0,4,-0.1522008280319544
153,1,4,-0.0370617554368573
153,2,4,-0.0009468643969443268
153,3,4,0.07041962983036631
154,0,4,-0.13484303394859296
154,1,4,0.05393303032245317
154,2,4,-0.02590410054123604
154,3,4,-0.0837115079752031
155,0,4,-0.13850860068219562
155,1,4,0.1745656732323252
155,2,4,0.01831089233581411
155,3,4,-0.0723382475651864
156,0,4,-0.2595938366192351
156,1,4,0.07307070119710252
156,2,4,0.009762157798642285
156,3,4,-0.030922864586845365
157,0,4,-0.07440684266938838
157,1,4,0.16766115687964536
157,2,4,0.06329347846255255
157,3,4,-0.06872734680903918
158,0,4,-0.11156665279349898
158,1,4,0.15864006757830715
158,2,4,0.11853290388896096
158,3,4,-0.06509872177937545
159,0,4,-0.10745131214117304
159,1,4,-0.04632885712479462
159,2,4,0.1255427160466709
159,3,4,0.00786085398700194
160,0,4,-0.14655065171822065
160,1,4,0.03129747117986022
160,2,4,0.01917033113715648
160,3,4,-0.013836924001338916
161,0,4,-0.16312665024057635
161,1,4,0.08203416404628801
161,2,4,0.22334197904067804
161,3,4,0.04306999959733874
162,0,4,-0.128997600414119
162,1,4,0.02279131305519628
162,2,4,0.1520837395761807
162,3,4,0.05928804842635241
163,0,4,-0.06296224089341379
163,1,4,0.07177628860198217
163,2,4,0.18945236518950878
163,3,4,0.0017130897612955883
164,0,4,-0.13672712010389268
164,1,4,0.11683236878602361
164,2,4,0.12236131232070717
164,3,4,0.10510586235642551
165,0,4,-0.13440733753321082
165,1,4,0.028950761715754957
165,2,4,-0.10128047495731422
165,3,4,0.022610378975321525
166,0,4,-0.16370007671910555
166,1,4,0.05560898956257697
166,2,4,0.11336713387723513
166,3,4,0.007116072897553328
167,0,4,-0.1922724773585125
167,1,4,0.05411485459716668
167,2,4,0.22563991331837419
167,3,4,-0.09709566861500808
168,0,4,-0.12789596175666582
168,1,4,0.10096145024808
168,2,4,0.2078660930847992
168,3,4,0.11475523718288373
169,0,4,-0.10540361592430368
169,1,4,0.11023674238622169
169,2,4,0.026827730037204664
169,3,4,0.030565039651740337
170,0,4,-0.16655036719868338
170,1,4,0.0025322783099322593
170,2,4,0.16362354123361877
170,3,4,0.005895065167315512
171,0,4,-0.28311317529113655
171,1,4,0.19816885611795765
171,2,4,0.23865792242023848
171,3,4,-0.12173775363687092
172,0,4,0.09130149299127138
172,1,4,0.08353207949408029
172,2,4,0.018347817076416677
172,3,4,-0.08949671871614058
173,0,4,-0.08745281635122353
173,1,4,-0.14442094507514647
173,2,4,0.1257125205474309
173,3,4,0.025580138548154118
174,0,4,-0.17443784083749547
174,1,4,0.034674173334014
174,2,4,0.038692375162683174
174,3,4,-0.0033466798591661657
175,0,4,-0.04239340147649943
175,1,4,0.15243221280057076
175,2,4,0.049240897352811494
175,3,4,-0.12692509828386062
176,0,4,-0.06070827187002349
176,1,4,0.18145515769934964
176,2,4,0.1273645431145156
176,3,4,0.08762431592057872
177,0,4,-0.13545676249974872
177,1,4,0.14039900157437
177,2,4,0.17696951301200614
177,3,4,0.07687134905297618
178,0,4,-0.1066169308918229
178,1,4,0.07430630216657445
178,2,4,0.11497770518911583
178,3,4,0.07373007761978408
179,0,4,-0.12511085618262488
179,1,4,0.16369181679481842
179,2,4,-0.004686967355975855
179,3,4,-0.046383453356580805
180,0,4,-0.1929220812715084
180,1,4,0.12579322884244376
180,2,4,0.04831989549103449
180,3,4,-0.0317993543773227
181,0,4,-0.20292387541812407
181,1,4,0.13402827214291263
181,2,4,0.1907998453158014
181,3,4,-0.12934270611463622
182,0,4,-0.08133670327352775
182,1,4,0.08804314050559335
182,2,4,0.11112771675721447
182,3,4,-0.006003607628041535
183,0,4,-0.15162468141408225
183,1,4,0.17217691805613497
183,2,4,0.13763253760423608
183,3,4,-0.05064201322733733
